Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A714978,*Elsa,10/29/2015 05:07:00 PM,10/29/2015 05:07:00 PM,12410 Alameda Trace Circle in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,*Elsa,12/12/2015 03:00:00 PM,12/12/2015 03:00:00 PM,09/07/2015,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,0.0
A712266,,09/20/2015 12:44:00 AM,09/20/2015 12:44:00 AM,1815 E 4Th St in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Brown/Black,,09/20/2015 07:57:00 AM,09/20/2015 07:57:00 AM,08/20/2015,Other,Unknown,4 weeks,Bat,Brown/Black,1.0
A717291,,12/05/2015 02:22:00 PM,12/05/2015 02:22:00 PM,2900 Slaughter Ln in Austin (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Shorthair Mix,Brown Tabby,,12/09/2015 07:39:00 PM,12/09/2015 07:39:00 PM,04/05/2015,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Brown Tabby,0.0
A787374,,01/11/2019 06:45:00 PM,01/11/2019 06:45:00 PM,1035 Springdale Road in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Gray,,01/12/2019 08:09:00 AM,01/12/2019 08:09:00 AM,12/27/2018,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Gray,0.0
A753602,*Brady,07/08/2017 02:59:00 PM,07/08/2017 02:59:00 PM,Thaxton Road And Mckinney Falls in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White,*Brady,07/28/2017 10:31:00 AM,07/28/2017 10:31:00 AM,07/08/2015,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,0.0
A809737,Aggie,11/30/2019 01:28:00 PM,11/30/2019 01:28:00 PM,Travis (TX),Owner Surrender,Normal,Other,Intact Male,3 years,Guinea Pig,Calico,Aggie,12/04/2019 12:21:00 PM,12/04/2019 12:21:00 PM,11/30/2016,Other,Intact Male,3 years,Guinea Pig,Calico,0.0
A773602,,06/03/2018 12:46:00 PM,06/03/2018 12:46:00 PM,1300 Crossing in Austin (TX),Wildlife,Sick,Other,Unknown,3 years,Raccoon,Gray/Black,,06/03/2018 01:31:00 PM,06/03/2018 01:31:00 PM,06/03/2015,Other,Unknown,3 years,Raccoon,Gray/Black,1.0
A720902,,02/17/2016 01:05:00 PM,02/17/2016 01:05:00 PM,Mcmillian Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Brown,,02/21/2016 05:42:00 PM,02/21/2016 05:42:00 PM,11/25/2015,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Brown,0.0
A781907,,10/07/2018 04:51:00 PM,10/07/2018 04:51:00 PM,Lake Austin in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby,,10/07/2018 05:05:00 PM,10/07/2018 05:05:00 PM,09/22/2018,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby,0.0
A723843,Timmy,04/18/2016 06:26:00 PM,04/18/2016 06:26:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,13 years,Domestic Medium Hair/Maine Coon,Brown Tabby,Timmy,05/22/2016 06:00:00 PM,05/22/2016 06:00:00 PM,04/07/2003,Cat,Neutered Male,13 years,Domestic Medium Hair/Maine Coon,Brown Tabby,0.0
A798886,Tucker,07/01/2019 04:28:00 PM,07/01/2019 04:28:00 PM,Vargas And 183 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Blue/White,Tucker,07/08/2019 05:44:00 PM,07/08/2019 05:44:00 PM,07/01/2017,Dog,Neutered Male,2 years,Pit Bull,Blue/White,0.0
A736938,,10/19/2016 03:25:00 PM,10/19/2016 03:25:00 PM,5805 Blue Bluff Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/Black,,10/20/2016 09:00:00 AM,10/20/2016 09:00:00 AM,10/19/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/Black,0.0
A722475,,03/17/2016 01:25:00 PM,03/17/2016 01:25:00 PM,6017 Perlita in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Longhair Mix,Brown Tabby,,03/17/2016 03:05:00 PM,03/17/2016 03:05:00 PM,03/17/2014,Cat,Intact Male,2 years,Domestic Longhair Mix,Brown Tabby,1.0
A794038,,05/03/2019 12:15:00 PM,05/03/2019 12:15:00 PM,1203 Eleanor Street in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Blue Tabby,,05/05/2019 07:35:00 PM,05/05/2019 07:35:00 PM,04/03/2019,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Blue Tabby,0.0
A694312,,12/25/2014 12:31:00 PM,12/25/2014 12:31:00 PM,12201 Von Quintus Road in Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Pit Bull Mix,White/Chocolate,,12/27/2014 12:12:00 PM,12/27/2014 12:12:00 PM,12/25/2014,Dog,Intact Female,2 days,Pit Bull Mix,White/Chocolate,0.0
A753741,Amelia,07/10/2017 01:52:00 PM,07/10/2017 01:52:00 PM,6118 Fairway St in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black/Brown,Amelia,07/17/2017 03:53:00 PM,07/17/2017 03:53:00 PM,07/10/2012,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black/Brown,0.0
A799446,,07/08/2019 05:03:00 PM,07/08/2019 05:03:00 PM,5202 Nuckols Crossing Road in Austin (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair,Black,,09/20/2019 09:23:00 AM,09/20/2019 09:23:00 AM,06/08/2019,Cat,Neutered Male,3 months,Domestic Shorthair,Black,0.0
A666219,*Saxton,10/29/2013 12:02:00 AM,10/29/2013 12:02:00 AM,101 E Fawnridge Dr in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever Mix,Black/White,*Saxton,12/16/2013 02:29:00 PM,12/16/2013 02:29:00 PM,04/14/2013,Dog,Neutered Male,8 months,Labrador Retriever Mix,Black/White,0.0
A689443,,10/04/2014 11:14:00 AM,10/04/2014 11:14:00 AM,Slaughter Ln And Mopac in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Doberman Pinsch Mix,Black/Tan,,10/09/2014 05:29:00 PM,10/09/2014 05:29:00 PM,08/04/2014,Dog,Spayed Female,2 months,Doberman Pinsch Mix,Black/Tan,0.0
A675619,Bosco,03/30/2014 11:49:00 AM,03/30/2014 11:49:00 AM,4015 Kandy Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Chocolate/White,Bosco,04/05/2014 05:48:00 PM,04/05/2014 05:48:00 PM,03/30/2012,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/White,0.0
A693177,Gracie,12/03/2014 12:50:00 PM,12/03/2014 12:50:00 PM,6610 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,7 years,Chihuahua Shorthair Mix,Black/Tan,Gracie,12/07/2014 06:02:00 PM,12/07/2014 06:02:00 PM,12/03/2007,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Black/Tan,0.0
A556804,Kathy,11/30/2013 12:19:00 PM,11/30/2013 12:19:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Black/White,Kathy,11/16/2013 04:38:00 PM,11/16/2013 04:38:00 PM,02/05/2002,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Black/White,0.0
A808539,Chris,11/10/2019 01:38:00 PM,11/10/2019 01:38:00 PM,Nuckols Crossing Road And East Stassney Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate/White,Chris,11/15/2019 01:05:00 PM,11/15/2019 01:05:00 PM,11/11/2015,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate/White,0.0
A792843,,04/16/2019 11:31:00 AM,04/16/2019 11:31:00 AM,7106 Cherry Wood in Austin (TX),Wildlife,Injured,Other,Intact Male,1 year,Opossum Mix,Gray,,04/16/2019 03:04:00 PM,04/16/2019 03:04:00 PM,04/16/2018,Other,Intact Male,1 year,Opossum Mix,Gray,1.0
A732385,Peaches,08/06/2016 05:16:00 PM,08/06/2016 05:16:00 PM,9816 Bundoran in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Cream Tabby,Peaches,08/16/2016 05:34:00 PM,08/16/2016 05:34:00 PM,06/07/2016,Cat,Intact Female,2 months,Domestic Shorthair Mix,White/Cream Tabby,0.0
A748377,*Willis,05/02/2017 01:50:00 PM,05/02/2017 01:50:00 PM,Hwy 183 And Montopolis Rd in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Tan/White,*Willis,08/19/2017 07:02:00 PM,08/19/2017 07:02:00 PM,05/02/2014,Dog,Neutered Male,3 years,Pit Bull Mix,Tan/White,0.0
A689447,*Izzy,10/04/2014 11:29:00 AM,10/04/2014 11:29:00 AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,*Izzy,12/14/2014 10:53:00 AM,12/14/2014 10:53:00 AM,09/07/2014,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White,1.0
A795462,,05/20/2019 06:21:00 PM,05/20/2019 06:21:00 PM,10201 Shively Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 weeks,Pointer,Brown/Tricolor,,05/31/2019 06:30:00 PM,05/31/2019 06:30:00 PM,05/02/2019,Dog,Intact Male,4 weeks,Pointer,Brown/Tricolor,0.0
A727450,*Berry,05/22/2016 01:04:00 PM,05/22/2016 01:04:00 PM,6900 Old Bee Caves Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,*Berry,07/09/2016 05:44:00 PM,07/09/2016 05:44:00 PM,04/15/2016,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0.0
A756688,Shy,10/14/2018 10:38:00 AM,10/14/2018 10:38:00 AM,Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White,Shy,10/24/2018 11:37:00 AM,10/24/2018 11:37:00 AM,08/23/2016,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White,0.0
A669201,Boni,09/16/2015 05:41:00 PM,09/16/2015 05:41:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown,Boni,10/06/2015 05:53:00 PM,10/06/2015 05:53:00 PM,12/16/2012,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown,0.0
A668481,,12/04/2013 12:29:00 PM,12/04/2013 12:29:00 PM,4204 Sojourner Ln in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie/White,,12/04/2013 02:39:00 PM,12/04/2013 02:39:00 PM,11/12/2013,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie/White,0.0
A725708,Dexter,05/02/2016 10:58:00 AM,05/02/2016 10:58:00 AM,4600 East Stassney Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,2 months,Labrador Retriever Mix,White,Dexter,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,02/02/2016,Dog,Neutered Male,3 months,Labrador Retriever Mix,White,0.0
A762366,Tiggy,11/19/2017 11:47:00 AM,11/19/2017 11:47:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Torbie,Tiggy,01/30/2018 09:13:00 AM,01/30/2018 09:13:00 AM,11/19/2008,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Torbie,0.0
A800035,Quito,07/15/2019 03:16:00 PM,07/15/2019 03:16:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,Chihuahua Shorthair/Dachshund,White/Black,Quito,07/31/2019 12:52:00 PM,07/31/2019 12:52:00 PM,07/15/2013,Dog,Neutered Male,6 years,Chihuahua Shorthair/Dachshund,White/Black,0.0
A713163,*Peanut,10/03/2015 12:45:00 PM,10/03/2015 12:45:00 PM,1101 Wheatley Ave in Austin (TX),Stray,Normal,Cat,Intact Male,4 years,Domestic Shorthair Mix,Blue Tabby,*Peanut,11/11/2015 12:00:00 AM,11/11/2015 12:00:00 AM,10/03/2011,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue Tabby,0.0
A755224,,07/31/2017 01:02:00 PM,07/31/2017 01:02:00 PM,2006 Margalene Way in Austin (TX),Stray,Injured,Dog,Intact Male,8 years,Miniature Poodle Mix,White,,08/01/2017 04:46:00 PM,08/01/2017 04:46:00 PM,07/31/2009,Dog,Intact Male,8 years,Miniature Poodle Mix,White,0.0
A696336,,02/03/2015 10:19:00 AM,02/03/2015 10:19:00 AM,2201 Montopolis in Austin (TX),Stray,Normal,Dog,Unknown,1 week,Chihuahua Shorthair Mix,White/Black,,02/06/2015 04:55:00 PM,02/06/2015 04:55:00 PM,01/27/2015,Dog,Unknown,1 weeks,Chihuahua Shorthair Mix,White/Black,0.0
A799281,*Cowboy Kent,07/06/2019 05:43:00 PM,07/06/2019 05:43:00 PM,10702 Faryl Cove Side B in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog,Tricolor/Brown,*Cowboy Kent,07/28/2019 10:51:00 PM,07/28/2019 10:51:00 PM,07/06/2017,Dog,Neutered Male,2 years,Australian Cattle Dog,Tricolor/Brown,0.0
A740384,Luna,12/16/2016 01:35:00 PM,12/16/2016 01:35:00 PM,10802 San Jose Ave in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Black/White,Luna,01/06/2017 05:09:00 PM,01/06/2017 05:09:00 PM,11/07/2016,Dog,Spayed Female,1 month,Australian Cattle Dog Mix,Black/White,0.0
A784080,,11/11/2018 11:58:00 AM,11/11/2018 11:58:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,,02/20/2019 03:58:00 PM,02/20/2019 03:58:00 PM,09/26/2018,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,0.0
A708359,Ganja,12/15/2016 06:36:00 PM,12/15/2016 06:36:00 PM,Outside Jurisdiction,Stray,Normal,Dog,Spayed Female,1 year,Pit Bull/Labrador Retriever,Black/Brown,Ganja,07/30/2015 03:56:00 PM,07/30/2015 03:56:00 PM,01/26/2015,Dog,Spayed Female,6 months,Pit Bull/Labrador Retriever,Black/Brown,0.0
A786510,,12/26/2018 04:47:00 PM,12/26/2018 04:47:00 PM,1054 Springdale Road in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Calico,,12/31/2018 04:26:00 PM,12/31/2018 04:26:00 PM,10/01/2018,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,0.0
A764965,,01/10/2018 11:00:00 AM,01/10/2018 11:00:00 AM,Avalon Avenue And Bourg Cove in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/White,,01/15/2018 12:59:00 PM,01/15/2018 12:59:00 PM,07/10/2016,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Black/White,0.0
A779155,Powell 4,08/26/2018 01:50:00 PM,08/26/2018 01:50:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby,Powell 4,09/01/2018 11:59:00 AM,09/01/2018 11:59:00 AM,08/26/2010,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby,0.0
A743905,Rodney,02/19/2017 10:12:00 AM,02/19/2017 10:12:00 AM,2200 Onion Creek Parkway in Austin (TX),Public Assist,Normal,Dog,Neutered Male,8 years,Pomeranian,Black,Rodney,02/20/2017 11:23:00 AM,02/20/2017 11:23:00 AM,02/19/2009,Dog,Neutered Male,8 years,Pomeranian,Black,0.0
A750526,,05/28/2017 12:56:00 PM,05/28/2017 12:56:00 PM,508 Springdale in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie,,07/14/2017 01:35:00 PM,07/14/2017 01:35:00 PM,05/06/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0.0
A713264,King,10/05/2015 10:08:00 AM,10/05/2015 10:08:00 AM,601 E St Johns in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Rottweiler,Black/Brown,King,10/06/2015 03:30:00 PM,10/06/2015 03:30:00 PM,02/06/2015,Dog,Intact Male,7 months,Rottweiler,Black/Brown,0.0
A782680,Bristol,10/19/2018 02:56:00 PM,10/19/2018 02:56:00 PM,Jakes Hill Road And Speidel Drive in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White,Bristol,10/20/2018 11:48:00 AM,10/20/2018 11:48:00 AM,12/20/2012,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White,0.0
A757991,Nugget,09/09/2017 04:54:00 PM,09/09/2017 04:54:00 PM,10001 Brownie in Austin (TX),Stray,Sick,Dog,Intact Male,8 years,Australian Cattle Dog Mix,Brown Brindle/White,Nugget,12/07/2017 02:08:00 PM,12/07/2017 02:08:00 PM,09/09/2009,Dog,Neutered Male,8 years,Australian Cattle Dog Mix,Brown Brindle/White,0.0
A794057,,05/03/2019 02:19:00 PM,05/03/2019 02:19:00 PM,719 Fort Chadbourne Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie/White,,05/11/2019 05:27:00 PM,05/11/2019 05:27:00 PM,05/03/2018,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie/White,0.0
A758028,Buddy,09/10/2017 01:14:00 PM,09/10/2017 01:14:00 PM,3900 Highland Dr in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Labrador Retriever Mix,Tan/White,Buddy,09/11/2017 11:32:00 AM,09/11/2017 11:32:00 AM,09/11/2013,Dog,Intact Male,4 years,Labrador Retriever Mix,Tan/White,0.0
A690611,,10/23/2014 11:16:00 AM,10/23/2014 11:16:00 AM,Fulkes in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Cardigan Welsh Corgi Mix,Sable,,10/25/2014 12:46:00 PM,10/25/2014 12:46:00 PM,08/23/2014,Dog,Intact Male,2 months,Cardigan Welsh Corgi Mix,Sable,0.0
A727493,*Lo Mein,05/22/2016 04:03:00 PM,05/22/2016 04:03:00 PM,13021 Dessau Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black,*Lo Mein,06/30/2016 12:29:00 PM,06/30/2016 12:29:00 PM,04/22/2016,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black,0.0
A692279,,11/17/2014 11:15:00 PM,11/17/2014 11:15:00 PM,2505 Rosewood Ave in Austin (TX),Wildlife,Normal,Other,Unknown,6 months,Bat Mix,Brown,,11/18/2014 08:01:00 AM,11/18/2014 08:01:00 AM,05/17/2014,Other,Unknown,6 months,Bat Mix,Brown,1.0
A763935,,12/18/2017 04:19:00 PM,12/18/2017 04:19:00 PM,4716 Sagebrush Trail in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Gray/Gray,,12/24/2017 11:22:00 AM,12/24/2017 11:22:00 AM,08/18/2017,Cat,Intact Female,4 months,Domestic Shorthair Mix,Gray/Gray,0.0
A715498,*Camille,11/05/2015 11:50:00 AM,11/05/2015 11:50:00 AM,13349 Indian Oak in Manor (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,*Camille,01/13/2016 09:03:00 AM,01/13/2016 09:03:00 AM,11/05/2013,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,0.0
A711913,Quinn,09/20/2015 11:48:00 AM,09/20/2015 11:48:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Tan,Quinn,09/23/2015 01:17:00 PM,09/23/2015 01:17:00 PM,07/04/2015,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Tan,0.0
A704743,,06/08/2015 03:31:00 PM,06/08/2015 03:31:00 PM,1408 A Cool Shadow in Austin (TX),Stray,Sick,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Gray Tabby,,06/08/2015 03:40:00 PM,06/08/2015 03:40:00 PM,05/08/2015,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Gray Tabby,1.0
A666555,*Diego,11/03/2013 02:47:00 PM,11/03/2013 02:47:00 PM,Browning And Diamondback Trl in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Black,*Diego,12/14/2013 05:41:00 PM,12/14/2013 05:41:00 PM,11/03/2011,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Black,0.0
A758983,Lemmy,09/24/2017 05:43:00 PM,09/24/2017 05:43:00 PM,Fm 969 And Tollway 30 in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Boxer Mix,Tan/Tricolor,Lemmy,10/01/2017 05:49:00 PM,10/01/2017 05:49:00 PM,05/24/2017,Dog,Neutered Male,4 months,Boxer Mix,Tan/Tricolor,0.0
A812726,Mila,01/27/2020 03:47:00 PM,01/27/2020 03:47:00 PM,East Howard Lane And Harris Branch Parkwy in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Siberian Husky,Black/White,Mila,01/28/2020 03:05:00 PM,01/28/2020 03:05:00 PM,08/12/2019,Dog,Intact Female,5 months,Siberian Husky,Black/White,0.0
A677766,Korbindallas,04/29/2014 11:13:00 AM,04/29/2014 11:13:00 AM,4610 Benson Way in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black/White,Korbindallas,05/07/2014 05:24:00 PM,05/07/2014 05:24:00 PM,10/29/2012,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0.0
A705050,*Fallon,06/12/2015 01:33:00 PM,06/12/2015 01:33:00 PM,1601 E Slaughter Ln in Austin (TX),Stray,Normal,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,*Fallon,07/02/2015 12:00:00 AM,07/02/2015 12:00:00 AM,04/05/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,0.0
A795743,Ruckus,05/24/2019 11:03:00 AM,05/24/2019 11:03:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black,Ruckus,08/17/2019 11:24:00 AM,08/17/2019 11:24:00 AM,03/24/2019,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Black,0.0
A747623,,04/22/2017 12:41:00 PM,04/22/2017 12:41:00 PM,12425 Mellow Meadow in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Boxer,Tan/White,,05/17/2017 04:32:00 PM,05/17/2017 04:32:00 PM,03/07/2017,Dog,Neutered Male,2 months,Boxer,Tan/White,0.0
